Version,Model,Ansatz,Data,Learning Rate,Number Qubits,Hidden Size,Sequence Length,Prediction Step,Batch Size,Num Parameters,MSE Testing Mean,MSE Testing Std,MSE Testing Min,MSE Testing Max,MSE Testing Median,MSE Testing Mad,MSE Validation Mean,MSE Validation Std,MSE Validation Min,MSE Validation Max,MSE Validation Median,MSE Validation Mad,MAE Testing Mean,MAE Testing Std,MAE Testing Min,MAE Testing Max,MAE Testing Median,MAE Testing Mad,MAE Validation Mean,MAE Validation Std,MAE Validation Min,MAE Validation Max,MAE Validation Median,MAE Validation Mad,Correlation Testing Mean,Correlation Testing Std,Correlation Testing Min,Correlation Testing Max,Correlation Testing Median,Correlation Testing Mad,Correlation Validation Mean,Correlation Validation Std,Correlation Validation Min,Correlation Validation Max,Correlation Validation Median,Correlation Validation Mad,Epochs to Convergance Mean,Epochs to Convergance Std,Epochs to Convergance Min,Epochs to Convergance Max,Epochs to Convergance Median,Epochs to Convergance Mad,Total Training Time Mean,Total Training Time Std,Total Training Time Min,Total Training Time Max,Total Training Time Median,Total Training Time Mad,Training Loss after 100 epochs Mean,Training Loss after 100 epochs Std,Training Loss after 100 epochs Min,Training Loss after 100 epochs Max,Training Loss after 100 epochs Median,Training Loss after 100 epochs Mad,Validation Loss after 100 epochs Mean,Validation Loss after 100 epochs Std,Validation Loss after 100 epochs Min,Validation Loss after 100 epochs Max,Validation Loss after 100 epochs Median,Validation Loss after 100 epochs Mad,Testing Loss after 100 epochs Mean,Testing Loss after 100 epochs Std,Testing Loss after 100 epochs Min,Testing Loss after 100 epochs Max,Testing Loss after 100 epochs Median,Testing Loss after 100 epochs Mad
1.0,vqc,paper_rivera-ruiz_no_inputlayer_1,henon_1000,0.001,4.0,,4.0,1.0,64.0,22.0,0.006855631433427279,0.004017183395823453,0.0045988634228706,0.0177341699600219,0.00511671695858235,0.0001243262086063502,0.00613495497964315,0.0034716212218792006,0.0042273793369531,0.0155802145600318,0.0045804607216268,2.2826250642550214e-05,0.061836227774620015,0.01308276907837563,0.0513624250888824,0.0981311053037643,0.056577660143375355,0.0005139876157044983,0.05960365310311314,0.012060851479012496,0.050920519977808,0.0931674093008041,0.05475915037095545,0.000906292349100099,0.9560841143131256,0.02685825675009722,0.8830084800720215,0.9710400700569152,0.9676831364631653,0.0008009672164916992,0.9605843305587769,0.023241736257093158,0.897091269493103,0.9731619954109192,0.970959633588791,0.0001410841941832941,2952.6,1701.8000587613105,935.0,6193.0,2485.0,785.5,1464.841,899.116329008099,451.34,3504.44,1213.13,390.9250000000001,0.05282784573733801,0.015995615843501496,0.026612290367484,0.0892379365861415,0.05026337094604965,0.00920052379369735,0.05230086594820017,0.01702933926838579,0.0252120867371559,0.0919539257884025,0.049950785934924996,0.008511791005730653,0.053050411678850606,0.016629661880334358,0.0267689879983663,0.0921806767582893,0.05108215101063245,0.007521191611885997
1.0,vqc,paper_rivera-ruiz_no_inputlayer_1,henon_1000,0.001,8.0,,8.0,1.0,64.0,42.0,0.022100990358740042,0.01461257994182696,0.011397342197597,0.0485186651349067,0.0123553383164107,0.0009532873518764496,0.021457743179053017,0.014900222555176448,0.0098326113075017,0.0469055883586406,0.01144388644024725,0.0016012173146009506,0.10921304002404211,0.038233990394628985,0.0805134773254394,0.1715864390134811,0.08292167261242861,0.0023444518446922094,0.10770892202854151,0.0401569578793952,0.0745435133576393,0.1735865622758865,0.07996448874473566,0.005361583083868013,0.8441751360893249,0.11490581058192668,0.630213737487793,0.9269655346870422,0.9203098118305206,0.006568729877471868,0.8476355850696564,0.11692925307278103,0.6425396800041199,0.9364306330680848,0.9257678389549255,0.010635852813720759,5416.8,2381.3501128561506,3176.0,9152.0,3813.0,601.0,5666.651,2345.3326994754925,3397.16,9296.44,4519.91,1115.7649999999999,0.07267246797680851,0.014504126670559317,0.0482609461992979,0.1019568763673305,0.07496261633932585,0.004915108904242543,0.07200083062052723,0.014685287991559737,0.0466432720422744,0.1023511216044426,0.07306911051273346,0.006236825138330439,0.07435340918600555,0.01585737045224187,0.049048576503992,0.1066771149635315,0.07569691538810724,0.007401742041111006
1.0,vqc,paper_rivera-ruiz_no_inputlayer_2,henon_1000,0.001,4.0,,4.0,1.0,64.0,34.0,0.0018608433485496304,0.0007000657337081609,0.0009124109637923,0.0030910060741007,0.0016618215013295,0.00056322512682525,0.0016986994014586598,0.0005735551316059895,0.0008293236023746,0.0027025172021239,0.0015900154830887502,0.0004640598781406498,0.032250893674790795,0.006336982852261766,0.0234700869768857,0.0430737175047397,0.0313476268202066,0.00354618951678275,0.03120025172829624,0.005293700394801776,0.0228248722851276,0.0391781032085418,0.03121937252581115,0.0029692277312278505,0.9883869111537933,0.004401919421182775,0.980612814426422,0.9943454265594482,0.98964062333107,0.003502964973449707,0.9893141388893127,0.003620945253988556,0.9829471111297609,0.994794487953186,0.9900111854076385,0.002943038940429743,2605.9,1130.3183135736588,1104.0,4730.0,2398.5,993.5,1812.613,772.833686507647,790.74,3279.59,1678.085,680.785,0.02696660134475674,0.014675821143111117,0.007636511651799,0.0509923063218593,0.0256496466696262,0.01344324559904635,0.026470441929995946,0.01421887399823275,0.0076861940324306,0.050432376563549,0.025254487991332952,0.012816895730793502,0.02800102736800905,0.015134847090416199,0.0078838188201189,0.0547754354774951,0.026189968921244103,0.013112778775393952
1.0,vqc,paper_rivera-ruiz_no_inputlayer_2,henon_1000,0.001,8.0,,8.0,1.0,64.0,66.0,0.00202801637351508,0.001342165923118989,0.0009439642308279,0.0050187325105071,0.00141718814847985,0.00030021410202604997,0.00215918619651343,0.0016499184609628324,0.0008739974582567,0.0055880257859826,0.0014703885535709,0.00050264509627595,0.032394785247743085,0.009029737894013151,0.0242331810295581,0.0498701706528663,0.02863425668328995,0.0030549094080925005,0.03148752618581052,0.009186628320680004,0.0226554479449987,0.050472717732191,0.02840834297239775,0.00410290248692035,0.9873363494873046,0.00849954392741745,0.9683472514152528,0.9941648244857788,0.9911810755729675,0.001918941736221369,0.9863561928272248,0.010541995389192376,0.9644176363945008,0.9945093393325806,0.990798681974411,0.0031617581844329834,4272.8,1972.5529549292207,1686.0,7948.0,4152.0,1461.0,6590.901,3089.513084213919,2446.17,12373.3,6236.65,2236.9650000000006,0.03425929657183583,0.017915230988754607,0.016069973539561,0.0674647014588117,0.02852062052115795,0.0104974585119635,0.0346222417429089,0.01793086039407571,0.0162682589143514,0.0694761648774147,0.02959048282355065,0.011296397075057049,0.03671863842755551,0.018498596836922097,0.0170577503740787,0.0702169090509414,0.03021678328514095,0.009858345612883599
1.0,vqc,paper_rivera-ruiz_no_inputlayer_3,henon_1000,0.001,4.0,,4.0,1.0,64.0,46.0,0.0006751742024788999,0.0002964952419814938,0.0002275320875924,0.0011006168788298,0.0007087732083163501,0.0002620884915814,0.0006245423646759801,0.000283144882076606,0.0001997712533921,0.0009734840132296,0.00062369991792365,0.0002800956135615,0.01962888780981298,0.004981176092714595,0.0114494385197758,0.0261556562036275,0.0206813989207148,0.00409399531781675,0.01882429607212539,0.004946883758481311,0.0106017868965864,0.0245142206549644,0.019114064052700948,0.004829205106943851,0.9957994043827056,0.0018495158064406017,0.9931414127349854,0.998586654663086,0.9956022500991821,0.0016537308692932129,0.9960843622684479,0.0017769025091394018,0.9938870072364808,0.9987501502037048,0.9960862100124359,0.0017543435096740723,3194.8,1641.058365811527,1432.0,7105.0,2919.0,1155.5,2852.696,1276.7001554491956,1304.45,5748.18,2652.245,920.5949999999999,0.014032137051690319,0.010218880646811314,0.0036492099286988,0.035923121869564,0.0105637728469446,0.0015641100704670008,0.01397615589667106,0.010407716424745745,0.0036057482939213,0.0362393520772457,0.01051154127344485,0.0009851725772023496,0.014532324764877503,0.009884746805373473,0.0043996344320476,0.0342630520462989,0.01159646920859805,0.0015624635852873004
1.0,vqc,paper_rivera-ruiz_no_inputlayer_3,henon_1000,0.001,8.0,,8.0,1.0,64.0,90.0,0.0006112130031396699,0.0005585288607213037,0.0001035779059748,0.0019351656083017,0.00035247408959545,0.00023690521993555,0.0005881578174011897,0.0005768003744581774,9.187686373479664e-05,0.0020732744596898,0.00034103589132425003,0.00023412022346745173,0.01703961719758802,0.007845953223405736,0.0077013964764773,0.03311038762331,0.0144955571740865,0.0063460289966315,0.016624868521466787,0.00783737725437464,0.0071548572741448,0.0341614112257957,0.01426859991624945,0.0058474889956414994,0.996200567483902,0.0034893911400580677,0.9879003167152404,0.9993576407432556,0.9978111684322358,0.001474320888519176,0.9963067054748536,0.0036387184183828128,0.9869202375411988,0.9994261860847472,0.9978667795658112,0.0014654994010924183,5605.4,2012.7706873859227,2437.0,8760.0,5653.5,1462.5,11815.296,4287.863157350524,5222.36,18975.34,11829.075,2901.1400000000003,0.023175786919891774,0.009969193007023258,0.011654501594603,0.0495485488325357,0.0204203665722161,0.003772014332935201,0.02275994224473831,0.009475365867479253,0.0109555190429091,0.0476841628551483,0.020672612823545898,0.004067644476890548,0.02487010788172479,0.010306017250302777,0.0125697404146194,0.0521553307771682,0.0220066821202635,0.0033519295975565494
1.0,vqc,paper_rivera-ruiz_with_inputlayer_1,henon_1000,0.001,4.0,,4.0,1.0,64.0,58.0,8.331111857841026e-05,4.921873534983922e-05,4.719677599496208e-05,0.0002025141147896,6.0545304222614504e-05,1.0850009857676923e-05,7.560920967079241e-05,4.8877096462763185e-05,3.910516170435585e-05,0.0001971950405277,5.2945262723369524e-05,1.0209851097897626e-05,0.00664380080997939,0.0019539462661723006,0.0049792872741818,0.0113446451723575,0.0059660659171640006,0.0006704449187964001,0.00631944984197612,0.0020308150386429942,0.0046208123676478,0.0112813729792833,0.0055890132207423,0.0006439078133553501,0.9994837582111359,0.0003066787580906807,0.998741328716278,0.9997110962867736,0.9996247291564941,6.80685043334961e-05,0.999527907371521,0.0003053064937166691,0.9987678527832032,0.999756932258606,0.9996687471866608,6.416440010070801e-05,2093.4,448.38581601116687,1619.0,2976.0,1909.5,193.0,869.0290000000001,184.21877876318692,678.21,1241.93,793.275,77.72999999999996,0.01185798165854062,0.008019105982830095,0.0017771047074347,0.026034084148705,0.0111086618620902,0.0064358933130279,0.01146993312286208,0.007677673613186136,0.0017591334180906,0.0257263872772455,0.01068440591916435,0.0062106144614518,0.01223878826713185,0.008240000796359306,0.0018804451683536,0.0267765410244464,0.01122492225840685,0.006890656426548949
1.0,vqc,paper_rivera-ruiz_with_inputlayer_1,henon_1000,0.001,6.0,,4.0,1.0,64.0,86.0,8.901568889995394e-05,0.00013031521831611317,1.000563679554034e-05,0.0004751678206957,4.755648478749208e-05,1.5119370800675824e-05,8.427591028520422e-05,0.00013063524554184007,9.845872227742802e-06,0.0004722265584859,4.0051927499007434e-05,1.272382633032976e-05,0.00573618563357736,0.003034598808541428,0.0024607733357697,0.0141236223280429,0.0050578291993588,0.00103266723454,0.00551058051642026,0.003182070636176022,0.0024295973125845,0.0144660007208585,0.0045990494545548495,0.0009489965159445496,0.9994487762451172,0.0008113015317565118,0.997043788433075,0.9999380707740784,0.9997077584266664,9.185075759882144e-05,0.9994742751121521,0.0008168609514573462,0.9970477819442748,0.9999387860298156,0.9997492730617522,7.930397987371274e-05,1787.7,303.48148213688427,1303.0,2304.0,1715.0,149.0,1175.603,258.2521886857883,848.43,1789.18,1093.835,94.25000000000006,0.00538980549667024,0.004195734523326214,0.0016173086012713,0.0154932813718914,0.00360298565356055,0.0017469485232141,0.00517683112993831,0.004011766372129052,0.0014655857812613,0.0148996254429221,0.0034953037975355497,0.0017014606855809498,0.005601416865829339,0.004247901518909193,0.0017747025704011,0.0157251246273517,0.0037083637434988997,0.0016734880045987997
1.0,vqc,paper_rivera-ruiz_with_inputlayer_1,henon_1000,0.001,8.0,,4.0,1.0,64.0,114.0,2.8197663232276683e-05,1.9228762978938875e-05,5.36943207407603e-06,7.321536395465955e-05,2.4131129976012744e-05,4.334814548201395e-06,2.4902893255784874e-05,1.6936146932070564e-05,4.883961082668975e-06,6.598035542992875e-05,2.075756674457807e-05,4.670759153668769e-06,0.0035345955635420504,0.001205102407315816,0.0016261575510725,0.006115332711488,0.0036061612190678,0.00048425397835669994,0.00335374277783554,0.0011667101518133508,0.0015470323851332,0.0059754769317805,0.00341913034208115,0.00044130091555415,0.9998273909091949,0.00011927878455226784,0.9995485544204712,0.9999673366546632,0.999852865934372,2.6762485504205902e-05,0.9998467862606049,0.00010457207543824768,0.9995937347412108,0.9999696612358092,0.9998733997344971,2.765655517578125e-05,1813.9,291.3782593125301,1435.0,2376.0,1761.5,229.5,1725.94,263.56556945094326,1382.1,2263.74,1687.22,216.875,0.0030866357660851696,0.002179357461182368,0.0011219021631404,0.0093481019139289,0.00253609854262315,0.0005725867522414499,0.0030767127638682097,0.002136654263855099,0.0011313626309856,0.0092174559831619,0.0026108486345037003,0.0005895322537981,0.00342515431111673,0.0023109539121627105,0.0012497158022597,0.0100042261183261,0.0028798792045563,0.0007989673176780499
1.0,vqc,paper_rivera-ruiz_with_inputlayer_1,henon_1000,0.001,4.0,,8.0,1.0,64.0,90.0,0.0001256229752470884,0.00013997486093667925,5.148163108970039e-05,0.0005401129019446,8.403694664593786e-05,2.7132413379142674e-05,0.00011362909026501338,0.00013854727657532174,4.2922380089294165e-05,0.0005246796063147,6.959202073630877e-05,2.3953980416990817e-05,0.007394492300227229,0.0031729107674422206,0.005052160937339,0.0165689252316951,0.00659731030464165,0.00091377715580165,0.00686710937879974,0.003100790049657742,0.0047130426391959,0.0158132873475551,0.0059250362683087,0.0009606950916349996,0.9992222547531128,0.0008708253048761092,0.9966434240341188,0.9996808767318726,0.9994801878929138,0.00016871094703668765,0.9992915034294129,0.0008654583913393004,0.9967236518859864,0.9997310638427734,0.9995654821395874,0.00014907121658319644,1523.8,161.03465465544986,1239.0,1834.0,1549.0,115.0,647.293,64.79213502424504,517.75,756.45,653.425,44.38500000000005,0.01928857909748327,0.012094046517664648,0.0014058765256777,0.037010358273983,0.0142240575980395,0.00917824675561865,0.01913893613964316,0.011769928916972525,0.0015336964279413,0.0374022908508777,0.01477624382823705,0.00976896146312355,0.02006738329073409,0.012324642740119504,0.0016280732816085,0.0405673123896122,0.015867168083786902,0.009525301866233349
