Version,Model,Ansatz,Data,Learning Rate,Number Qubits,Hidden Size,Sequence Length,Prediction Step,Batch Size,Num Parameters,MSE Testing Mean,MSE Testing Std,MSE Testing Min,MSE Testing Max,MSE Testing Median,MSE Testing Mad,MSE Validation Mean,MSE Validation Std,MSE Validation Min,MSE Validation Max,MSE Validation Median,MSE Validation Mad,MAE Testing Mean,MAE Testing Std,MAE Testing Min,MAE Testing Max,MAE Testing Median,MAE Testing Mad,MAE Validation Mean,MAE Validation Std,MAE Validation Min,MAE Validation Max,MAE Validation Median,MAE Validation Mad,Correlation Testing Mean,Correlation Testing Std,Correlation Testing Min,Correlation Testing Max,Correlation Testing Median,Correlation Testing Mad,Correlation Validation Mean,Correlation Validation Std,Correlation Validation Min,Correlation Validation Max,Correlation Validation Median,Correlation Validation Mad,Epochs to Convergance Mean,Epochs to Convergance Std,Epochs to Convergance Min,Epochs to Convergance Max,Epochs to Convergance Median,Epochs to Convergance Mad,Total Training Time Mean,Total Training Time Std,Total Training Time Min,Total Training Time Max,Total Training Time Median,Total Training Time Mad,Training Loss after 100 epochs Mean,Training Loss after 100 epochs Std,Training Loss after 100 epochs Min,Training Loss after 100 epochs Max,Training Loss after 100 epochs Median,Training Loss after 100 epochs Mad,Validation Loss after 100 epochs Mean,Validation Loss after 100 epochs Std,Validation Loss after 100 epochs Min,Validation Loss after 100 epochs Max,Validation Loss after 100 epochs Median,Validation Loss after 100 epochs Mad,Testing Loss after 100 epochs Mean,Testing Loss after 100 epochs Std,Testing Loss after 100 epochs Min,Testing Loss after 100 epochs Max,Testing Loss after 100 epochs Median,Testing Loss after 100 epochs Mad
1.0,qlstm_paper,original_1,henon_1000,0.001,4.0,,8.0,1.0,64.0,82.0,0.00462144436023659,0.010232230571318968,0.0004406008229125,0.0351267158985137,0.00093832126003685,0.0003308110171929,0.00430019486520899,0.009799218463774425,0.0003923850890714,0.0335578136146068,0.00080076398444355,0.00027625128859654996,0.03308874685317274,0.03333634994523648,0.0154168177396059,0.130598172545433,0.021575296297669348,0.0043515432626009005,0.03132005147635932,0.03321759963407615,0.0144260702654719,0.1290267407894134,0.019919092766940552,0.0035853292793035507,0.9683671414852142,0.07292900059007007,0.7505836486816406,0.9972802996635436,0.9944542050361633,0.0019264519214630127,0.9702815532684326,0.06994373811285517,0.7612067461013794,0.9975375533103944,0.9951027929782867,0.001669168472290039,12509.4,4689.745946210733,5455.0,21199.0,12230.5,3713.5,61934.46000000001,29066.96876910112,24480.62,119622.28,55476.385,22880.999999999996,0.08022765129804606,0.0005866165006224637,0.0791500970721244,0.0811808865517377,0.08028625380247825,0.0004769256338476996,0.07918124720454209,0.0007768124114467679,0.0771473050117492,0.0799557417631149,0.0793564319610595,0.00040125101804729807,0.07986179068684571,0.0007569336195839349,0.0779071301221847,0.0806106701493263,0.0800874270498752,0.00044866651296614907
1.0,qlstm_paper,original_1,henon_1000,0.001,4.0,,4.0,1.0,64.0,82.0,0.0051484727649949,0.007850905130113184,0.0015022228471934,0.028626712039113,0.0025169620057567503,0.00047606491716580034,0.004685467458330039,0.007392329395192448,0.0013569905422627,0.0268055703490972,0.00221366155892605,0.0004218250978738,0.04567528497427699,0.02872831300613912,0.027456859126687,0.1309012919664383,0.0367767997086048,0.003157751634716998,0.04260261915624137,0.027824553644245326,0.025957902893424,0.1253545880317688,0.033794980496168095,0.0026350878179073056,0.9663425981998444,0.054706078185240335,0.802639365196228,0.9909377694129944,0.984632909297943,0.002978444099426325,0.9690628349781036,0.05147819911267911,0.8149521350860596,0.9916236400604248,0.9863256514072418,0.0025806725025177557,11214.3,1797.6160908269596,8575.0,15418.0,10720.5,835.0,28003.040999999997,6295.688052649131,21177.32,41708.41,25742.305,2767.4000000000015,0.07939494512975213,0.0025979113553834046,0.0719545140862465,0.0817782469093799,0.080227468162775,0.0006697122007608483,0.07864466756582257,0.0028068806144338153,0.0702838525176048,0.0802916511893272,0.07953587174415586,0.00023976713418959184,0.07926969453692431,0.002808012318300147,0.0709040910005569,0.0809288024902343,0.08012130111455909,0.00027042627334594727
1.0,qlstm_paper,original_1,henon_1000,0.001,4.0,,4.0,2.0,64.0,82.0,0.03256682138890023,0.0018745538606088896,0.0306764375418424,0.0368710085749626,0.03202064335346215,0.0010973494499921504,0.030839698016643474,0.0016714921140027752,0.0291352625936269,0.0349132046103477,0.0301527008414268,0.0007907133549452001,0.13423011898994444,0.0059387944407647015,0.1271696239709854,0.1451122313737869,0.13318815827369684,0.003585830330848694,0.12958964407443999,0.006110274461053098,0.1223044693470001,0.1418539136648178,0.12802666425704956,0.003767728805541992,0.7724204063415527,0.014986795139479717,0.737163245677948,0.7870395183563232,0.7773747444152832,0.007927417755126953,0.7841071784496307,0.013166301166943594,0.75117427110672,0.7971075773239136,0.7894426584243774,0.005874305963516235,12319.8,3520.4475794989476,7995.0,16840.0,12166.5,3708.0,29028.32,11539.035017484779,17405.27,56005.42,26689.695,8249.525,0.08016653716564173,0.0008694266333416099,0.0784838363528251,0.0815237440168857,0.08003291636705395,0.0005095668137073475,0.07935833856463428,0.0005872942181550504,0.0781447142362594,0.0799772143363952,0.07953501492738721,0.0002942904829979012,0.0800262078642845,0.0005570409638891234,0.0789004489779472,0.0806140899658203,0.08019032329320905,0.00027162954211235046
1.0,qlstm_paper,original_1,henon_1000,0.001,4.0,,4.0,4.0,64.0,82.0,0.06724335625767704,0.00045227353393128644,0.0665249153971672,0.0679074451327323,0.0673040822148323,0.0004602819681167533,0.06556284800171848,0.00046719603942523566,0.0648928880691528,0.0661471560597419,0.065544806420803,0.0004508905112743447,0.2206276044249534,0.0011007990421219723,0.2177881449460983,0.2216770201921463,0.2206588834524154,0.0006949454545974593,0.21870230138301844,0.0009687069172577193,0.2172746807336807,0.2200819253921508,0.2184904664754867,0.0008748918771743497,0.4081638216972351,0.006027376284396062,0.3989410698413849,0.4169144332408905,0.40711064636707306,0.0051435381174087524,0.42556095123291016,0.006274490758639391,0.4163726270198822,0.4365059435367584,0.4263015389442444,0.006062105298042325,12918.3,4144.449204659167,7371.0,22013.0,12356.0,2758.0,32496.51,20122.612614575173,15503.04,89943.62,27120.940000000002,6336.260000000002,0.0800998736172914,0.0009512688753954807,0.0785485856235027,0.0812745973467826,0.08013047948479646,0.0008180439472198972,0.07951268553733823,0.000389344216237497,0.0785474404692649,0.0798755660653114,0.07968188077211374,0.0001698136329651087,0.08019933253526684,0.00037214529825307723,0.0793038308620452,0.080558605492115,0.08036213740706441,0.0001712106168269903
1.0,qlstm_paper,original_1,henon_1000,0.001,4.0,,8.0,2.0,64.0,82.0,0.03526239469647403,0.009427470750811361,0.0310060419142246,0.0634420290589332,0.0323721375316381,0.0008646007627248972,0.03309593293815845,0.00921158623667782,0.0287594459950923,0.0606159977614879,0.03025429323315615,0.0008176201954484003,0.13961400538682933,0.025232575774693518,0.1266072541475296,0.2148531973361969,0.1308482363820076,0.0023694485425949097,0.13400286883115767,0.025811533768992145,0.1211918070912361,0.2109775096178054,0.1255875304341316,0.0028877407312393397,0.7460590332746506,0.09289735576968985,0.467966228723526,0.785424530506134,0.7750565409660339,0.0067507922649383545,0.7618836283683776,0.0873288812989966,0.5006003379821777,0.8004660606384277,0.7894865870475769,0.006008148193359375,10112.2,2835.1811864499946,6787.0,16142.0,9683.5,2314.5,56049.797,26890.62540934444,29510.86,121498.51,50054.515,11540.175,0.08038213633000847,0.001065235799736086,0.0791835539042949,0.0820724345743656,0.0801391672343015,0.0007746912539005057,0.07980255037546155,0.0001981523379033824,0.0794725641608238,0.0801974684000015,0.0798329599201679,8.935853838920593e-05,0.08066044673323629,0.00019518556447773935,0.0803481191396713,0.0810657665133476,0.08068087324500081,9.519234299659729e-05
1.0,qlstm_paper,original_1,henon_1000,0.001,4.0,,8.0,4.0,64.0,82.0,0.0678156808018684,0.0004588806373106084,0.0667447373270988,0.0683920532464981,0.0679690465331077,0.00030101463198665274,0.06557624861598008,0.00035392907061442507,0.0648697763681411,0.0661082565784454,0.0656339265406131,0.00016302242875095713,0.22212440371513362,0.001084663291450972,0.2198007404804229,0.2233642041683197,0.22254487872123715,0.0006420835852622986,0.21948109269142152,0.0007042872185631516,0.2179400324821472,0.220464825630188,0.21974501013755793,0.0005685240030288558,0.4027908980846405,0.007923920183344046,0.3929421603679657,0.4209998250007629,0.3993717432022095,0.003931060433387784,0.42696780860424044,0.005361945809842363,0.4203019738197326,0.4386458992958069,0.42494218051433563,0.0032800137996673584,13476.4,5402.2782453331665,5439.0,21892.0,13741.5,5804.0,68048.77200000001,32672.2593908272,24139.47,145639.82,60222.850000000006,15517.460000000006,0.07979648306965823,0.0010667151202651236,0.0786646373569965,0.082403140515089,0.07942361086606975,0.0005038518458604507,0.07976358756422992,0.00020583167211826823,0.0794489532709121,0.0801144689321518,0.07974104955792419,0.00016677752137191082,0.08062715157866472,0.00019633442266050032,0.080333225429058,0.0809595808386802,0.08060444518923755,0.00015967339277270232
1.0,qlstm_paper,original_1,henon_1000,0.001,4.0,,16.0,1.0,64.0,82.0,0.0037493906468928553,0.008728535289038334,0.0003636148758232,0.0284259915351867,0.0006889178184792,0.0002628505171742,0.0034851286068765222,0.008241927376300926,0.0003191691939719,0.0267882663756608,0.0005948899197392,0.00022570253349839996,0.029618534466458662,0.03571065629919492,0.0128992525860667,0.1302273720502853,0.0173513814806938,0.0031550452113152,0.027725147083401642,0.03464043033046122,0.0117090996354818,0.1253798007965088,0.0158008262515068,0.002671863883733701,0.9748243755764432,0.0599903996521454,0.8052025437355042,0.9977689385414124,0.9959381818771362,0.001474618911743164,0.9764990276760526,0.056638355135555984,0.8163452744483948,0.9980174899101256,0.9964166283607484,0.0012985467910765491,9587.777777777777,1233.3116915018124,7091.0,10874.0,10215.0,621.0,95808.42444444445,23506.612701112244,64705.43,150415.17,93753.98,13180.680000000008,0.07949343075354891,0.001497844309815123,0.0763777375221252,0.0816660091280937,0.0793024938553571,0.0006118636578321124,0.07880053255293101,0.00113515681747596,0.0761551111936569,0.080155111849308,0.0788411423563957,0.0007188022136687955,0.07931569384204012,0.001163052162286758,0.0765648856759071,0.0806633457541465,0.0792984217405319,0.0007413253188133101
1.0,qlstm_paper,original_1,henon_1000,0.001,4.0,,16.0,2.0,64.0,82.0,0.032546259669793944,0.001577388255522364,0.0307502634823322,0.0362729653716087,0.0324887260794639,0.000710655003786094,0.031059726451834,0.0016262702524735791,0.029312377795577,0.0350098609924316,0.0310097876936197,0.0006515737622976026,0.1323503678043683,0.006527605007144275,0.1245835199952125,0.1473593711853027,0.1310799717903137,0.0041660219430923184,0.1282461285591125,0.006566532308764162,0.120382510125637,0.1433277428150177,0.1283299326896667,0.0026456415653229037,0.7739553054173788,0.011703156355173128,0.7466623187065125,0.7876309156417847,0.7741948962211609,0.005387842655181885,0.7840627630551656,0.01223932455312543,0.7543678879737854,0.79731684923172,0.7846818566322327,0.0052242279052734375,9375.111111111111,2586.967355566249,6364.0,14292.0,9388.0,2329.0,91506.87111111112,22888.184961844127,60140.01,126064.7,93642.27,23159.630000000005,0.0797485590808921,0.0017154077777101358,0.0759034346789121,0.0818084925413131,0.0803999118506908,0.0007863931357861009,0.08008967505560977,0.0005960096189319984,0.0791439637541771,0.0814029946923255,0.0801827386021614,0.00020384043455129452,0.08062550094392561,0.0005907447226810496,0.0797032415866851,0.0819640085101127,0.0806642472743988,0.00015198439359659366
1.0,qlstm_paper,original_1,henon_1000,0.001,4.0,,16.0,4.0,64.0,82.0,0.06729822456836697,0.00036330389419969903,0.0664917826652526,0.067578949034214,0.06749842688441275,7.316097617150047e-05,0.06591472849249834,0.0003674235043633562,0.0651274695992469,0.0662213116884231,0.0660553909838199,0.00015709549188614585,0.22162095755338668,0.0005439839811815545,0.2203727811574936,0.2222185730934143,0.22183067351579666,0.00017246603965759277,0.22033504843711854,0.0006206166969107303,0.2188790738582611,0.2210269719362259,0.22048393636941904,0.0002676695585251132,0.4039048731327057,0.005384158804754163,0.3998043239116668,0.4161688387393951,0.4013286232948303,0.0014293491840363104,0.42043512761592866,0.005232363037918949,0.4155053496360779,0.4321203529834747,0.4187518209218979,0.0018534958362579623,9044.1,2065.5987727533147,5358.0,12533.0,9418.0,1735.0,87608.63100000001,31461.87733071008,48726.04,171062.31,84688.075,15414.869999999995,0.08003933608531949,0.0019055934448871286,0.0763543952256441,0.0827534608542919,0.0808034431189298,0.0008050497621297989,0.07985224425792692,0.00017521223115352062,0.0794803574681282,0.0801040530204773,0.07986814156174654,7.921084761619568e-05,0.08025600165128705,0.00017161595670627498,0.0798906162381172,0.0805005356669426,0.0802790634334087,7.658824324610625e-05
1.0,qlstm_paper,original_1,henon_1000,0.001,6.0,,16.0,2.0,64.0,122.0,0.0690872818231582,0.0,0.0690872818231582,0.0690872818231582,0.0690872818231582,0.0,0.0673034489154815,0.0,0.0673034489154815,0.0673034489154815,0.0673034489154815,0.0,0.2252563089132309,0.0,0.2252563089132309,0.2252563089132309,0.2252563089132309,0.0,0.2247242480516433,0.0,0.2247242480516433,0.2247242480516433,0.2247242480516433,0.0,0.3830901682376861,0.0,0.3830901682376861,0.3830901682376861,0.3830901682376861,0.0,0.4069609045982361,0.0,0.4069609045982361,0.4069609045982361,0.4069609045982361,0.0,5764.0,0.0,5764.0,5764.0,5764.0,0.0,85687.86,0.0,85687.86,85687.86,85687.86,0.0,0.0793651714920997,0.0,0.0793651714920997,0.0793651714920997,0.0793651714920997,0.0,0.0803454965353012,0.0,0.0803454965353012,0.0803454965353012,0.0803454965353012,0.0,0.0808966532349586,0.0,0.0808966532349586,0.0808966532349586,0.0808966532349586,0.0
