Version,Model,Ansatz,Data,Random ID,Learning Rate,Number Qubits,Hidden Size,Sequence Length,Prediction Step,Batch Size,MSE Testing,MSE Validation,MAE Testing,MAE Validation,Correlation Testing,Correlation Validation,Num Parameters,Epochs to Convergance,Total Training Time,Training Loss after 100 epochs,Validation Loss after 100 epochs,Testing Loss after 100 epochs
1,lstm,layers_1,mackey_1000,0,0.001,,16,8,1,64,1.1167947377543896e-05,1.430217525921762e-05,0.0027129084337502,0.003061823779717,0.999897837638855,0.9998902082443236,1233,1151,27.04,0.0015405317419208,0.0016334492247551,0.0012442950392141
1,lstm,layers_1,mackey_1000,0,0.001,,16,8,70,64,0.0339846238493919,0.0250000637024641,0.1451080441474914,0.1260127127170562,0.6199293732643127,0.8032827973365784,1233,585,12.68,0.0314755913698011,0.0270723775029182,0.0374339371919631
1,lstm,layers_1,mackey_1000,0,0.001,,16,8,140,64,0.024921691045165,0.0246410984545946,0.1226450353860855,0.1287956088781356,0.7274091243743896,0.795325517654419,1233,1694,32.51,0.0469916160218417,0.0478122383356094,0.0438461564481258
1,lstm,layers_1,mackey_1000,0,0.001,,16,16,1,64,4.0036061363935005e-06,4.872237695963122e-06,0.0015752841718494,0.0017255503917112,0.9999635815620422,0.999964952468872,1233,1106,31.05,0.0015758171735797,0.0017791310092434,0.0014340040506795
1,lstm,layers_1,mackey_1000,0,0.001,,16,16,70,64,0.0005055564688518,0.0008630547090433,0.0174195449799299,0.0225634295493364,0.9952740669250488,0.993988275527954,1233,3218,80.6,0.0275043075283368,0.0263847839087247,0.034999419003725
1,lstm,layers_1,mackey_1000,0,0.001,,16,16,140,64,0.0271196141839027,0.0182172283530235,0.1368356347084045,0.112510547041893,0.7153288722038269,0.8507171273231506,1233,869,20.29,0.0377424156758934,0.0425317734479904,0.0291054863482713
1,lstm,layers_2,mackey_1000,0,0.001,,16,4,1,64,4.809033271158114e-06,5.32604826730676e-06,0.0017131980275735,0.0018175927689298,0.9999620914459229,0.9999608397483826,3409,1216,38.5,0.0005178003688342,0.0005770286079496,0.0004682172439061
1,lstm,layers_2,mackey_1000,0,0.001,,16,4,70,64,0.0344449989497661,0.0248053390532732,0.1415183097124099,0.1213419437408447,0.6224167346954346,0.8038490414619446,3409,702,20.15,0.0372818965050909,0.0313949547708034,0.0413653887808322
1,lstm,layers_2,mackey_1000,0,0.001,,16,4,140,64,0.0367455184459686,0.0423740856349468,0.151442140340805,0.1644306778907776,0.5373610854148865,0.6180098652839661,3409,637,18.06,0.0556228827271196,0.0651276931166648,0.0532906092703342
1,lstm,layers_2,mackey_1000,0,0.001,,16,8,1,64,3.90491186408326e-06,4.362106665212195e-06,0.0015072614187374,0.0016618334921076,0.999972403049469,0.9999672174453736,3409,1177,42.06,0.0012754657305777,0.0013622313272207,0.0011805770918726
