Version,Model,Ansatz,Data,Learning Rate,Number Qubits,Hidden Size,Sequence Length,Prediction Step,Batch Size,Num Parameters,MSE Testing Mean,MSE Testing Std,MSE Testing Min,MSE Testing Max,MSE Testing Median,MSE Testing Mad,MSE Validation Mean,MSE Validation Std,MSE Validation Min,MSE Validation Max,MSE Validation Median,MSE Validation Mad,MAE Testing Mean,MAE Testing Std,MAE Testing Min,MAE Testing Max,MAE Testing Median,MAE Testing Mad,MAE Validation Mean,MAE Validation Std,MAE Validation Min,MAE Validation Max,MAE Validation Median,MAE Validation Mad,Correlation Testing Mean,Correlation Testing Std,Correlation Testing Min,Correlation Testing Max,Correlation Testing Median,Correlation Testing Mad,Correlation Validation Mean,Correlation Validation Std,Correlation Validation Min,Correlation Validation Max,Correlation Validation Median,Correlation Validation Mad,Epochs to Convergance Mean,Epochs to Convergance Std,Epochs to Convergance Min,Epochs to Convergance Max,Epochs to Convergance Median,Epochs to Convergance Mad,Total Training Time Mean,Total Training Time Std,Total Training Time Min,Total Training Time Max,Total Training Time Median,Total Training Time Mad,Training Loss after 100 epochs Mean,Training Loss after 100 epochs Std,Training Loss after 100 epochs Min,Training Loss after 100 epochs Max,Training Loss after 100 epochs Median,Training Loss after 100 epochs Mad,Validation Loss after 100 epochs Mean,Validation Loss after 100 epochs Std,Validation Loss after 100 epochs Min,Validation Loss after 100 epochs Max,Validation Loss after 100 epochs Median,Validation Loss after 100 epochs Mad,Testing Loss after 100 epochs Mean,Testing Loss after 100 epochs Std,Testing Loss after 100 epochs Min,Testing Loss after 100 epochs Max,Testing Loss after 100 epochs Median,Testing Loss after 100 epochs Mad
1.0,qrnn_paper,paper_no_reset,henon_1000,0.001,4.0,2.0,4.0,1.0,64.0,22.0,0.009305271436460271,0.004349492682050043,0.0033667644020169,0.0169493872672319,0.00927952071651815,0.00394913437776265,0.008381331758573602,0.0038231927817986944,0.0031344532035291,0.0155067313462495,0.0085298414342105,0.0033660274930298498,0.07138254567980763,0.017338469606607544,0.0461607314646244,0.1038940846920013,0.07089187204837795,0.013541651889681802,0.0685517363250255,0.016273437946588865,0.0457516908645629,0.1003500968217849,0.06869501620531075,0.013267979025840794,0.9399908900260925,0.028848343430745067,0.8884504437446594,0.9788827896118164,0.9406096339225769,0.02585741877555847,0.9458910167217255,0.025480968539408604,0.8978751301765442,0.9805455803871156,0.9451605677604675,0.022481352090835516,3280.9,2480.6400565176723,1574.0,10191.0,2158.0,231.0,1160.0520000000001,857.0317877861941,565.94,3544.71,786.91,110.79999999999995,0.051528936978429515,0.015428406616750504,0.0289131101220846,0.0694441720843315,0.0555073773488402,0.013756677508354194,0.05078187957406042,0.015598315094283019,0.0281526483595371,0.0693212822079658,0.05449355021119115,0.014570266008377047,0.05161061808466907,0.0156443242722185,0.0287518613040447,0.0710960924625396,0.0550104472786188,0.014736063778400449
1.0,qrnn_paper,paper_no_reset,henon_1000,0.001,5.0,2.0,4.0,1.0,64.0,28.0,0.00457309493795032,0.0024736086212439968,0.0026447449345141,0.0100042261183261,0.0036884340224787,0.0006932687247172002,0.0042774226516484794,0.0022944775973425544,0.0022844022605568,0.0095461821183562,0.00347768014762545,0.0007242494029924,0.04911192357540124,0.012056934301377723,0.0384539775550365,0.07879438996315,0.04579300992190835,0.0044549535959958995,0.04794167242944236,0.011736583636675664,0.0365934558212757,0.0770610868930816,0.0447082761675119,0.004853077232837701,0.9710508525371552,0.016017465548154725,0.9357634782791138,0.9834299087524414,0.9768399596214294,0.004410803318023682,0.9728751957416535,0.01499967575556065,0.9382983446121216,0.985710620880127,0.9782389998435974,0.004565596580505371,3800.0,1459.1928590834043,1530.0,6503.0,3785.5,1102.5,1688.17,647.1105534605351,681.66,2869.71,1694.25,522.235,0.03881363710388537,0.008582035788860241,0.026279124431312,0.0579628899693489,0.0389606466516852,0.004999523796141148,0.03805218376219268,0.008690465212042411,0.025545161217451,0.058137372136116,0.0377958565950393,0.004870284348726252,0.03925655446946615,0.008354143629468883,0.0270922649651765,0.0575934574007988,0.03962182812392705,0.004621000960469246
1.0,qrnn_paper,paper_no_reset,henon_1000,0.001,5.0,3.0,4.0,1.0,64.0,26.0,0.0057724594138562,0.00339453872777852,0.0023058545775711,0.0120166139677166,0.00423976301681245,0.0015168356476351506,0.005368354450911231,0.0032665710820825845,0.0020570151973515,0.0113722141832113,0.0039261271012946,0.0015105936909094002,0.05576745606958862,0.016933749934659712,0.0363938622176647,0.0859201550483703,0.04941853322088715,0.010389294475317001,0.053939918056130354,0.016529519669468168,0.0342674069106578,0.0823748409748077,0.04787972941994665,0.010280830785632099,0.9632363557815552,0.022127828032338204,0.9223729968070984,0.9856024980545044,0.9733131527900696,0.009634733200073242,0.9657791733741761,0.021407219802185927,0.9266337156295776,0.987134039402008,0.9753732085227966,0.00965473055839533,3601.5,1365.5809203412298,898.0,5457.0,3794.5,1113.0,1479.5190000000002,550.4532691055617,372.1,2183.74,1550.78,437.875,0.046019022483378615,0.01537090740626374,0.0278640568256378,0.0726034604012966,0.04206821061670775,0.01160516561940315,0.04526712223887437,0.015185893259720052,0.0265240501612424,0.0728756040334701,0.0404530297964811,0.01202942710369825,0.04667086843401189,0.015552844508445905,0.0274436566978693,0.0746894553303718,0.041645748540759045,0.011812407523393648
1.0,qrnn_paper,paper_no_reset,henon_1000,0.001,6.0,2.0,4.0,1.0,64.0,34.0,0.0027713581366696875,0.0011047622982607703,0.0017468384467065,0.0054078721441328,0.00233712221961465,0.0005526589811779499,0.0026233133976347376,0.0010916572880131693,0.0016571987653151,0.005273500457406,0.00219338375609365,0.00050269393250345,0.03758091572672123,0.006706282187803472,0.0294144265353679,0.0516333356499671,0.035109383985400144,0.004573903977870943,0.03719734633341429,0.006581070102218458,0.0298249516636133,0.051732812076807,0.035129079595208154,0.004539142362773399,0.9826231524348259,0.0070188444592457514,0.9658536314964294,0.9891039729118348,0.9853766858577728,0.003491967916488703,0.9835922569036484,0.00702248119702447,0.9664461016654968,0.989647626876831,0.9863598942756653,0.0031186640262604315,3539.75,742.9070853747459,2719.0,5166.0,3385.5,412.5,2076.11,425.6034220374644,1608.06,3011.36,1984.405,229.34000000000003,0.026244899566518078,0.012347228766232725,0.0105225834529846,0.0476879943162202,0.021582407411187852,0.004224612144753351,0.025962979998439512,0.012303309648371365,0.010924894362688,0.046317271888256,0.0210911156609654,0.0041325194761157,0.026857638615183487,0.012586241984580868,0.0116067612543702,0.0478520579636096,0.02128961775451895,0.0037013478577136993
1.0,qrnn_paper,paper_no_reset,henon_1000,0.001,6.0,3.0,4.0,1.0,64.0,32.0,0.0033731341568959336,0.001016533913065233,0.0017824652604758,0.0052807494066655,0.0033101080916821,0.0006078896112739996,0.0032616780760387105,0.0009663687537872805,0.0018547542858868,0.0048821461386978,0.0030622098129242,0.0005779622588306999,0.044284842080540066,0.008028124438523809,0.0322185754776001,0.0582586117088794,0.0446995981037616,0.006957221776246997,0.04388892195290985,0.007505221188914229,0.033935934305191,0.0555830784142017,0.0430699922144413,0.005673572421073997,0.9788119726710849,0.006461108907130373,0.9666359424591064,0.9888609647750854,0.9792165160179138,0.0038486123085021973,0.9795325265990363,0.006141152527979993,0.9691253304481506,0.988536536693573,0.9807034730911256,0.003281116485595814,3255.3333333333335,1214.0917959070841,2208.0,6388.0,3008.0,598.0,2531.658888888889,865.8007500246289,1254.48,3793.48,2451.72,839.3900000000003,0.03878354853433034,0.01349828248908631,0.0199338677339255,0.0562397208064794,0.0372449152171611,0.013617131114005997,0.03923950944509766,0.013915987722388692,0.0207618940621614,0.0578430406749248,0.0389317795634269,0.014547236263751998,0.0394228843765126,0.013273824641261816,0.0204981844872236,0.0567433089017868,0.0389364659786224,0.013559587299823803
1.0,qrnn_paper,paper_no_reset,henon_1000,0.001,6.0,4.0,4.0,1.0,64.0,30.0,0.004834244765030782,0.0025872433971946027,0.0023570461198687,0.0095864934846758,0.00341946433763945,0.0006393528310582,0.004569921060465217,0.002623393043325835,0.0021192769054323,0.0094781750813126,0.0030932454392313498,0.0005407145945355498,0.05221560286978876,0.014843421928441215,0.0362515486776828,0.0798397809267044,0.045332426205277346,0.005659235641360245,0.05083964330454661,0.014859513211625801,0.0346294902265071,0.0790988430380821,0.04453824460506435,0.006446199491620102,0.9693873723347982,0.016735500052363402,0.9385356903076172,0.9852486252784728,0.9785678386688232,0.004058659076690563,0.9709624151388804,0.017146898296722526,0.9388060569763184,0.9868255853652954,0.9805687367916107,0.003612011671066284,4643.5,1454.296364798684,1515.0,5792.0,5026.0,508.0,2415.3566666666666,749.1770799498755,821.09,3077.48,2601.49,262.095,0.037129462634523665,0.010311936517152145,0.025218210183084,0.0524664480239152,0.037409197911620104,0.009774528909474601,0.036329442945619385,0.009626292473555984,0.0244533959776163,0.0508528761565685,0.0370193645358085,0.00863704830408095,0.03706133676071957,0.009420927903454663,0.0256747584789991,0.0509185008704662,0.03747245296835895,0.0089206425473094
1.0,qrnn_paper,paper_no_reset,henon_1000,0.001,7.0,3.0,4.0,1.0,64.0,38.0,0.0017916734679601504,0.0006052030400533202,0.0010767937637865,0.0030937884002923,0.0016408858355134001,0.0003482966567389499,0.00169780531432475,0.0005662532352987148,0.0009777437662705,0.0029275957494974,0.00158959953114385,0.0002946784370579,0.030495075322687575,0.004939247275556825,0.0248406119644641,0.0405931025743484,0.0295255091041326,0.00242791324853895,0.029966151155531362,0.004336344457562072,0.0244962349534034,0.0381691791117191,0.029322925955057103,0.002104448154568653,0.9888299226760864,0.003812684836249072,0.980599284172058,0.9932968616485596,0.9898000061511993,0.0021797418594360907,0.9894515872001648,0.0035971996028709955,0.9816338419914246,0.993976593017578,0.9901891052722931,0.0019148290157318115,4292.7,1901.7473570377324,2281.0,8679.0,4031.5,1332.0,3070.923,1329.5173137424727,1645.9,6008.35,2888.41,985.2349999999999,0.025082283560186568,0.007246951193603098,0.0141490743495523,0.0348164640367031,0.0252229857258498,0.00748365581966935,0.025007367599755477,0.007571138381949587,0.0139338048174977,0.0363278277218341,0.0251105828210711,0.0075517008081078495,0.026077902410179328,0.007320800559789819,0.0152007909491658,0.0368813499808311,0.0255244057625532,0.0066678710281849515
1.0,qrnn_paper,paper_no_reset,henon_1000,0.001,7.0,4.0,4.0,1.0,64.0,36.0,0.0027153611881658,0.0007954107859457299,0.0018244128441438,0.0045750462450087,0.002636382705532,0.0005236389115453001,0.00259014761541033,0.0007295965839158501,0.0017007261049002,0.0042256321758031,0.00252714392263435,0.00055044435430315,0.03841758035123344,0.005526975256984094,0.0309561192989349,0.0497081764042377,0.03782767988741395,0.0044416133314371005,0.03830108102411026,0.00553247608752499,0.030747452750802,0.0486738681793212,0.0377644822001457,0.0049810688942670475,0.9830074369907379,0.005046501579232439,0.9711808562278748,0.988614022731781,0.9835087060928346,0.003321528434753307,0.983788937330246,0.004671563955603819,0.9733125567436218,0.9895031452178956,0.9840788245201111,0.0036177933216095526,4282.3,2203.3834913605033,1924.0,8763.0,3486.0,1462.5,2942.2259999999997,1517.9398798582242,1301.53,6002.75,2390.6049999999996,1009.8499999999996,0.028655535001307686,0.009232542339529776,0.0137292180210351,0.0454776655882597,0.02998298741877075,0.005107703898102051,0.027976167481392582,0.008929415126784896,0.0134177710860967,0.0447119437158107,0.028652441687881898,0.003696438856422901,0.029480851721018497,0.008989386955291188,0.0150225078687071,0.046867486089468,0.0305543895810842,0.004507947713136649
1.0,qrnn_paper,paper_no_reset,henon_1000,0.001,8.0,4.0,4.0,1.0,64.0,42.0,0.0018319178256205701,0.0007660447474619792,0.0007612917106598,0.0031090108677744,0.0017756695160641499,0.00065709132468325,0.0017823790665715499,0.0007266422470148495,0.0007761947344988,0.0029642542358487,0.0017410315922461001,0.0006437903502956001,0.03143289964646097,0.0063666784036859915,0.020757108926773,0.0409906506538391,0.031703932210803004,0.004387278109788903,0.031227345578372423,0.006326302742177855,0.020988130941987,0.0405595861375331,0.03211840521544215,0.005768660455942152,0.9885602235794068,0.004805672908080626,0.9805968999862672,0.9952587485313416,0.9889303147792816,0.004133462905883845,0.9889229238033295,0.004546365410226001,0.981454074382782,0.995128095149994,0.989212989807129,0.003975450992584173,4520.7,2315.9166241469056,1721.0,9218.0,3735.0,848.5,4123.567,2040.042034748549,1585.81,8114.58,3490.13,855.7800000000002,0.033015587003901566,0.01391846712767399,0.0154995034448802,0.0627310328185558,0.03141869157552715,0.010897561348974703,0.032564047072082734,0.013734912420397986,0.0156154753640294,0.0616184510290622,0.0299924574792385,0.0095078479498625,0.03341630883514876,0.013411065268087344,0.0167770069092512,0.0617332495748996,0.03185064066201445,0.0106093902140856
1.0,qrnn_paper,paper_no_reset,henon_1000,0.001,4.0,2.0,8.0,1.0,64.0,22.0,0.031013906747102714,0.004575317678375984,0.0252284500747919,0.0417251959443092,0.0294985175132751,0.0014801695942878515,0.028189647756516868,0.004278449631409397,0.0236577056348323,0.0366681404411792,0.02640876546502105,0.001394483260810351,0.13694894909858701,0.009545337465073897,0.1236227601766586,0.1564409285783767,0.13463625311851501,0.005327038466930403,0.13071593642234797,0.010044529017326897,0.1216580718755722,0.1500634104013443,0.1270993500947952,0.004586640745401403,0.7833085060119629,0.03749928932265323,0.6938663721084595,0.8285084962844849,0.7964679300785065,0.011143863201141357,0.8035618305206299,0.034190162761789565,0.7351176738739014,0.8391034007072449,0.8180704414844513,0.010506272315979004,2008.5,1315.910274296846,727.0,4420.0,1418.0,492.0,1331.2559999999999,860.3264020149561,479.97,2888.82,966.45,348.785,0.0739506653323769,0.016286032335743897,0.0458624303340911,0.097089659422636,0.0766319811344146,0.014087081328034441,0.07315134629607198,0.016339154366458466,0.0436443015933036,0.0966403484344482,0.07559532299637794,0.013750631362199756,0.07569858618080612,0.01688574587541881,0.0477390848100185,0.1051773205399513,0.07811914384365075,0.01270686835050585
